name,remote_id,type,given_name,family_name,preferred_name,gender,birth_date,notes,addresses,phone_numbers,primary_phone_number,email_addresses,primary_email_address,state,preferred_provider,first_visit,guarantor,opt_ins,create_time,update_time,additional_data.ImageFolder,opt_ins.sms,opt_ins.email
contacts/807,807,PATIENT,Mahmoud,Maher,,GENDER_OTHER,2000-02-24,,[],"[{'number': '201016398734', 'type': 'MOBILE'}]",201016398734,[],,ACTIVE,,0001-01-01,contacts/807,,,2025-01-19T16:15:13Z,mahermahmoud807,,
contacts/806,806,PATIENT,Mahmoud,Maher,,GENDER_OTHER,2000-02-24,,[],"[{'number': '1016398734', 'type': 'MOBILE'}]",1016398734,[],,ACTIVE,,0001-01-01,contacts/806,,,2025-01-19T15:32:05Z,mahermahmoud806,,
contacts/805,805,PATIENT,Jorge,Martínez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'jorge@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",jorge@email.com,ACTIVE,,0001-01-01,contacts/805,,,2025-01-18T15:43:02Z,martnezjorge805,,
contacts/804,804,PATIENT,Jorge,Martinez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'jorgemartinez.jam@gmail.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",jorgemartinez.jam@gmail.com,ACTIVE,,0001-01-01,contacts/804,,,2025-01-18T15:01:53Z,martinezjorge804,,
contacts/803,803,PATIENT,Javier,Perez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'Javier.perez@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",Javier.perez@email.com,ACTIVE,,0001-01-01,contacts/803,,,2025-01-17T23:58:13Z,perezjavier803,,
contacts/802,802,PATIENT,Luis,Valera,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'luis.valera@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",luis.valera@email.com,ACTIVE,,0001-01-01,contacts/802,,,2025-01-17T23:36:28Z,valeraluis802,,
contacts/801,801,PATIENT,Rodrigo,Perez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'rodrigo.perez@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",rodrigo.perez@email.com,ACTIVE,,0001-01-01,contacts/801,,,2025-01-17T23:36:07Z,perezrodrigo801,,
contacts/800,800,PATIENT,Juan,Perez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'juan.perez@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",juan.perez@email.com,ACTIVE,,0001-01-01,contacts/800,,,2025-01-17T23:29:13Z,perezjuan800,,
contacts/799,799,PATIENT,Jose,Perez,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'jose.perez@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",jose.perez@email.com,ACTIVE,,0001-01-01,contacts/799,,,2025-01-17T23:27:22Z,perezjose799,,
contacts/798,798,PATIENT,Luis,Valera,,GENDER_OTHER,0000-00-00,,[],[],,"[{'address': 'luis.valera@email.com', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",luis.valera@email.com,ACTIVE,,0001-01-01,contacts/798,,,2025-01-17T20:53:32Z,valeraluis798,,
contacts/797,797,PATIENT,Susana,Villa,,GENDER_OTHER,0000-00-00,,[],[],,[],,ACTIVE,,0001-01-01,contacts/797,,,2025-01-17T18:27:44Z,villasusana797,,
contacts/796,796,PATIENT,Jorge,Martínez,Jorge,MALE,1988-04-21,,[],[],,[],,ACTIVE,,0001-01-01,contacts/796,,,2025-01-17T18:22:10Z,martnezjorge796,,
contacts/795,795,PATIENT,est laborum,pariatur Duis e,adipisicing dolore,MALE,1960-02-02,,"[{'street_address': 'mollit anim pariatur u', 'city': 'elit Lorem ipsum dolore', 'state': 'esse eiusmod', 'postal_code': 'amet cupidatat proident', 'country_code': '', 'type': 'ADDRESS_TYPE_UNSPECIFIED'}]",[],,"[{'address': 'dolor Excepteur ea elit', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",dolor Excepteur ea elit,ACTIVE,,0001-01-01,contacts/795,,,2025-01-17T16:57:05Z,pariaturduiseestlaborum795,False,
contacts/794,794,PATIENT,est laborum,pariatur Duis e,adipisicing dolore,MALE,1960-02-02,,"[{'street_address': 'mollit anim pariatur u', 'city': 'elit Lorem ipsum dolore', 'state': 'esse eiusmod', 'postal_code': 'amet cupidatat proident', 'country_code': '', 'type': 'ADDRESS_TYPE_UNSPECIFIED'}]",[],,"[{'address': 'dolor Excepteur ea elit', 'type': 'EMAIL_ADDRESS_TYPE_UNSPECIFIED'}]",dolor Excepteur ea elit,ACTIVE,,0001-01-01,contacts/794,,,2025-01-17T16:44:33Z,pariaturduiseestlaborum794,False,
